date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:07	31585/31585	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:07%20GMT	https://asharamisynergy.com/media	C:/My%20Web%20Sites/hermes/asharamisynergy.com/media.html	(from https://asharamisynergy.com/)
17:10:08	30471/30471	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:08%20GMT	https://asharamisynergy.com/media/news	C:/My%20Web%20Sites/hermes/asharamisynergy.com/media/news.html	(from https://asharamisynergy.com/)
17:10:10	25201/25201	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:09%20GMT	https://asharamisynergy.com/media/photos	C:/My%20Web%20Sites/hermes/asharamisynergy.com/media/photos.html	(from https://asharamisynergy.com/)
17:10:11	22847/22847	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:10%20GMT	https://asharamisynergy.com/media/videos	C:/My%20Web%20Sites/hermes/asharamisynergy.com/media/videos.html	(from https://asharamisynergy.com/)
17:10:12	56414/56414	---M--	200	added ('OK')	image/jpeg	etag:%22dc5e-5e64f65a04a52%22	https://asharamisynergy.com/imager/images/banners/1535/asharami-news_2db6fe.jpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/images/banners/1535/asharami-news_2db6fe.jpg	(from https://asharamisynergy.com/)
17:10:13	40965/40965	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:12%20GMT	https://asharamisynergy.com/careers	C:/My%20Web%20Sites/hermes/asharamisynergy.com/careers.html	(from https://asharamisynergy.com/)
17:10:14	29818/29818	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202022%2016:10:13%20GMT	https://asharamisynergy.com/contact	C:/My%20Web%20Sites/hermes/asharamisynergy.com/contact.html	(from https://asharamisynergy.com/)
17:10:15	381322/381322	---M--	200	added ('OK')	image/jpeg	etag:%225d18a-5e65dfbcb5dfb%22	https://asharamisynergy.com/imager/images/banners/3044/home-trade-update_fa9134.jpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/images/banners/3044/home-trade-update_fa9134.jpg	(from https://asharamisynergy.com/)
17:10:16	190634/190634	---M--	200	added ('OK')	image/jpeg	etag:%222e8aa-5e65dfbceb95b%22	https://asharamisynergy.com/imager/images/banners/48/home-storage_fa9134.jpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/images/banners/48/home-storage_fa9134.jpg	(from https://asharamisynergy.com/)
17:10:17	171336/171336	---M--	200	added ('OK')	image/jpeg	etag:%2229d48-5e65dfbd1e5db%22	https://asharamisynergy.com/imager/images/banners/80/home-retail_fa9134.jpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/images/banners/80/home-retail_fa9134.jpg	(from https://asharamisynergy.com/)
17:10:18	206888/206888	---M--	200	added ('OK')	image/jpeg	etag:%2232828-5e65dfbd521fb%22	https://asharamisynergy.com/imager/images/banners/49/home-marketing_fa9134.jpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/images/banners/49/home-marketing_fa9134.jpg	(from https://asharamisynergy.com/)
17:10:19	174078/174078	---M--	200	added ('OK')	image/jpeg	etag:%222a7fe-5e65dfbd87d5b%22	https://asharamisynergy.com/imager/images/banners/3292/d2d-header_fa9134.jpg	C:/My%20Web%20Sites/hermes/asharamisynergy.com/imager/images/banners/3292/d2d-header_fa9134.jpg	(from https://asharamisynergy.com/)
17:10:20	116754/116754	---M--	200	added ('OK')	image/png	etag:%221c812-59255bed419c0%22	https://asharamisynergy.com/assets/images/asharami-storage-and-logistics.png	C:/My%20Web%20Sites/hermes/asharamisynergy.com/assets/images/asharami-storage-and-logistics.png	(from https://asharamisynergy.com/)
